zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce
-127.6225,56.79899,-707738,6,20.0,10.0,795.158,6,0,4.4716260000000005,3964,3.858932
-126.5596,133.1503,-914478,3,36.0,18.0,939.0726,6,0,8.085636000000001,6660,4.319136
-125.6535,-166.7152,-671170,2,20.0,10.0,662.0076,3,0,4.58139,7223,1.859479
-124.6568,-12.611310000000001,-641804,0,37.0,19.91102,1328.743,7,0,8.90077,817,7.786792999999999
-124.4294,-76.85727,-839766,0,20.0,10.0,1097.137,5,0,4.572272,3172,6.888597
-116.2327,76.58456,-673018,0,20.0,10.0,726.8829,4,0,4.5804849999999995,7160,2.699402
-115.1267,48.28237,-710290,5,34.0,15.602020000000001,1147.032,9,0,6.974530000000001,7353,9.453121000000001
-113.6561,-43.41641,-906998,0,20.0,10.0,685.8365,4,0,4.56811,7303,5.851449
-113.3974,103.5333,-674690,0,33.0,16.5,999.4914,3,0,7.42317,7430,2.6840029999999997
-113.2332,-312.673,-911134,3,43.0,21.52066,946.8969999999999,9,0,9.620322999999999,484,4.652298
-112.8244,-76.58909,-843814,0,43.0,14.949879999999999,1881.36,4,0,6.683003,7285,9.251206
-110.2795,194.171,-709498,7,37.0,18.98476,2015.7160000000001,3,0,8.486704,3814,1.0289979999999999
-107.7235,259.6352,-710730,8,42.0,10.51176,2166.8320000000003,1,0,4.6990419999999995,3781,9.460042
-106.9141,-48.3679,-841526,1,20.0,10.0,1073.146,2,0,4.51984,3134,0.8500629999999999
-106.8153,-193.9314,-907790,1,10.0,10.0,666.0668,5,0,4.509588,937,8.544025999999999
-106.8045,313.1012,-705010,2,20.0,10.0,1490.608,3,0,4.506832,7223,1.859479
-106.3508,266.3088,-643124,2,35.0,21.70415,1202.935,7,0,9.70235,7185,1.634716
-105.8655,72.27515,-710642,1,31.0,17.639860000000002,1603.349,1,0,7.885499,6787,8.933539999999999
-105.8273,129.8869,-702986,1,20.0,10.0,1109.874,7,0,4.502974,2499,2.785405
-105.34100000000001,-24.20208,-839502,4,20.0,10.0,1018.398,2,0,4.51755,977,2.5486169999999997
-104.8827,-305.0192,-908582,3,20.0,10.0,607.2328,7,0,4.52082,1497,5.038979
-104.7319,-304.5107,-673370,1,20.0,10.949019999999999,801.4352,8,0,4.8945099999999995,329,7.3341970000000005
